Season,TeamName,eFGPct_Off,RankeFGPct_Off,TOPct_Off,RankTOPct_Off,ORPct_Off,RankORPct_Off,FTRate_Off,RankFTRate_Off
2023,Abilene Christian,49.20948617,243,17.34151329,118,25.5387931,269,32.27931489,140
2023,Air Force,54.18704156,28,18.97770363,242,22.28033473,341,31.23471883,186
2023,Akron,51.85289163,100,16.57838002,68,29.80952381,141,33.63279057,105
2023,Alabama,52.11754538,88,18.6730977,227,34.204947,24,36.64649957,47
2023,Alabama A&M,48.55457227,278,21.41418927,342,29.52565344,150,35.81120944,58
2023,Alabama St.,42.31644849,363,18.89112521,238,31.78294574,73,31.2464428,185
2023,Albany,47.34917733,317,19.17564997,253,27.7992278,208,31.01767215,194
2023,Alcorn St.,45.23554604,348,18.29552032,199,33.71378402,30,35.27837259,67
2023,American,54.41717791,23,22.02137007,349,28.30601093,191,27.91411043,291
2023,Appalachian St.,48.71481028,270,16.31227851,59,24.50980392,303,29.25336597,248
2023,Arizona,56.49131274,3,18.38240709,209,30.7161346,107,35.81081081,59
2023,Arizona St.,48.40499307,288,16.80580238,81,29.17282127,160,31.20665742,188
2023,Arkansas,50.92098885,160,18.0526404,168,30.72487644,106,39.26320892,23
2023,Arkansas Pine Bluff,45.16447368,350,21.5776718,344,26.64640324,235,33.81578947,100
2023,Arkansas St.,47.60423149,306,18.14293375,180,28.79377432,175,35.09645302,69
2023,Army,53.80116959,34,19.08666761,246,25.39349423,273,31.34502924,183
2023,Auburn,49.49773983,225,17.67106843,142,32.8358209,49,36.31341035,51
2023,Austin Peay,46.29164048,335,17.44649247,122,25.97402597,254,26.14707731,331
2023,BYU,51.52162306,118,20.19678637,309,31.69398907,76,32.46129204,133
2023,Ball St.,53.00120048,54,17.80924402,150,30.52837573,114,42.25690276,8
2023,Baylor,53.21921308,48,17.85704635,152,34.41901408,22,36.79100664,46
2023,Bellarmine,51.74418605,104,18.23382904,191,20.56179775,352,25.3875969,339
2023,Belmont,55.31741725,12,16.77362556,77,25.390625,274,24.30819316,348
2023,Bethune Cookman,46.59025788,329,18.26158291,195,26.89844465,232,32.14899713,151
2023,Binghamton,49.54351795,223,19.4128999,265,28.73326468,176,28.24102252,282
2023,Boise St.,51.64981373,113,16.64302176,71,27.17291857,225,30.33528473,215
2023,Boston College,48.71931697,269,18.215737,188,27.62923351,212,27.32123799,311
2023,Boston University,46.96117051,325,17.87768722,156,28.72531418,178,29.037704,259
2023,Bowling Green,50.45897877,187,17.54800555,133,29.79942693,143,32.47274814,130
2023,Bradley,52.7173913,63,17.87490899,155,29.22535211,159,26.86335404,321
2023,Brown,50.73859987,172,19.04485565,244,25.31512605,277,29.80089917,229
2023,Bryant,51.88622754,98,18.7404315,231,29.00608519,162,32.81437126,126
2023,Bucknell,51.34008338,131,20.18197658,308,25.40816327,272,26.86122692,322
2023,Buffalo,49.54276493,224,19.22122456,256,32.16845878,64,31.95266272,159
